Data_Collection_Start_Date,Data_Collection_End_Date,Data_Collection_Midpoint_date,Data_Collection_Midpoint_MMWR_Year,Data_Collection_Midpoint_MMWR_Week,Data_Collection_Midpoint_MMWR_Day,Data_Collection_Midpoint_MMWRWeek_Display_Order,Month_Abbrev,Month_Sort_Order,Data_Source,Suppressed,Race_Ethnicity,Age_Group,Point_Estimate,CI_HalfWidth,CI_Lower,CI_Upper,Sample_Size
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,true,"Black, Non-Hispanic",65+,,,,,<30
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"White, Non-Hispanic",All Adults (18+),55.6,4.9,50.7,50.7,668
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"White, Non-Hispanic",18-49,45.6,7.4,38.2,38.2,278
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"White, Non-Hispanic",50-64,57,9.4,47.6,47.6,187
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"White, Non-Hispanic",65+,72.4,7.9,64.5,64.5,203
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Overall,All Adults (18+),54.1,3.3,50.8,50.8,1013
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Overall,18-49,44,4.7,39.3,39.3,483
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Overall,50-64,56,6,50,50,293
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Overall,65+,76.2,5.9,70.3,70.3,237
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"Other, Non-Hispanic",All Adults (18+),62.2,11.4,50.8,50.8,83
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"Other, Non-Hispanic",18-49,61.4,14.5,46.9,46.9,52
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,true,"Other, Non-Hispanic",50-64,,,,,<30
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,true,"Other, Non-Hispanic",65+,,,,,<30
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Hispanic,All Adults (18+),41.6,9.6,32,32,110
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,Hispanic,18-49,37.6,11.3,26.3,26.3,74
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,true,Hispanic,50-64,,,,,<30
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,true,Hispanic,65+,,,,,<30
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",All Adults (18+),49.9,10.4,39.5,39.5,96
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",18-49,41.6,14.6,27,27,46
01/08/2021 12:00:00 AM,01/10/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021,1,7,15,Jan,2,IPSOS KP,false,"Black, Non-Hispanic",50-64,57.1,18.5,38.6,38.6,31
