Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,40-44 years,364
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,45-49 years,559
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,5-9 years,22
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,50-54 years,907
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,55-59 years,1481
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,60-64 years,1940
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,65-69 years,2395
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,70-74 years,2943
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,75-79 years,3535
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,80-84 years,4369
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,85 years and over,14090
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,All Ages,33657
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,Unknown,1
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,0 years,220
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,1-4 years,45
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,10-14 years,42
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,15-19 years,133
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,20-24 years,288
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,25-29 years,391
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,30-34 years,383
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,35-39 years,473
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,40-44 years,538
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,45-49 years,870
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,5-9 years,37
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,50-54 years,1441
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,55-59 years,2234
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,M,60-64 years,2899
