Data As Of,Start Date,End Date,Year,Sex,Age Group,Total Deaths
03/21/2021,01/01/2019,12/31/2019,2019,F,50-54 years,37165
03/21/2021,01/01/2019,12/31/2019,2019,F,55-59 years,61398
03/21/2021,01/01/2019,12/31/2019,2019,F,60-64 years,85614
03/21/2021,01/01/2019,12/31/2019,2019,F,65-69 years,103474
03/21/2021,01/01/2019,12/31/2019,2019,F,70-74 years,131838
03/21/2021,01/01/2019,12/31/2019,2019,F,75-79 years,152997
03/21/2021,01/01/2019,12/31/2019,2019,F,80-84 years,179930
03/21/2021,01/01/2019,12/31/2019,2019,F,85 years and over,535581
03/21/2021,01/01/2019,12/31/2019,2019,F,Unknown,44
03/21/2021,01/01/2019,12/31/2019,2019,M,All Ages,1473823
03/21/2021,01/01/2019,12/31/2019,2019,M,0 years,11674
03/21/2021,01/01/2019,12/31/2019,2019,M,1-4 years,2041
03/21/2021,01/01/2019,12/31/2019,2019,M,5-9 years,1290
03/21/2021,01/01/2019,12/31/2019,2019,M,10-14 years,1896
03/21/2021,01/01/2019,12/31/2019,2019,M,15-19 years,7361
03/21/2021,01/01/2019,12/31/2019,2019,M,20-24 years,14387
03/21/2021,01/01/2019,12/31/2019,2019,M,25-29 years,19442
03/21/2021,01/01/2019,12/31/2019,2019,M,30-34 years,21909
03/21/2021,01/01/2019,12/31/2019,2019,M,35-39 years,25241
03/21/2021,01/01/2019,12/31/2019,2019,M,40-44 years,28195
03/21/2021,01/01/2019,12/31/2019,2019,M,45-49 years,39358
03/21/2021,01/01/2019,12/31/2019,2019,M,50-54 years,59489
03/21/2021,01/01/2019,12/31/2019,2019,M,55-59 years,97055
03/21/2021,01/01/2019,12/31/2019,2019,M,60-64 years,130870
03/21/2021,01/01/2019,12/31/2019,2019,M,65-69 years,150938
03/21/2021,01/01/2019,12/31/2019,2019,M,70-74 years,169309
03/21/2021,01/01/2019,12/31/2019,2019,M,75-79 years,176496
03/21/2021,01/01/2019,12/31/2019,2019,M,80-84 years,178604
03/21/2021,01/01/2019,12/31/2019,2019,M,85 years and over,338165
03/21/2021,01/01/2019,12/31/2019,2019,M,Unknown,103
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,All Ages,3359050
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,0 years,19161
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,1-4 years,3469
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,5-9 years,2183
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,10-14 years,3373
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,15-19 years,12164
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,20-24 years,23310
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,25-29 years,32320
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,30-34 years,40366
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,35-39 years,47576
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,40-44 years,55826
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,45-49 years,75772
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,50-54 years,113646
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,55-59 years,181725
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,60-64 years,255200
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,65-69 years,304055
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,70-74 years,365303
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,75-79 years,395305
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,80-84 years,421052
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,85 years and over,1007158
03/21/2021,01/01/2020,12/31/2020,2020,All Sexes,Unknown,86
03/21/2021,01/01/2020,12/31/2020,2020,F,All Ages,1602471
03/21/2021,01/01/2020,12/31/2020,2020,F,0 years,8536
03/21/2021,01/01/2020,12/31/2020,2020,F,1-4 years,1470
03/21/2021,01/01/2020,12/31/2020,2020,F,5-9 years,954
03/21/2021,01/01/2020,12/31/2020,2020,F,10-14 years,1284
03/21/2021,01/01/2020,12/31/2020,2020,F,15-19 years,3289
03/21/2021,01/01/2020,12/31/2020,2020,F,20-24 years,5959
03/21/2021,01/01/2020,12/31/2020,2020,F,25-29 years,9035
03/21/2021,01/01/2020,12/31/2020,2020,F,30-34 years,12377
03/21/2021,01/01/2020,12/31/2020,2020,F,35-39 years,15840
03/21/2021,01/01/2020,12/31/2020,2020,F,40-44 years,19789
03/21/2021,01/01/2020,12/31/2020,2020,F,45-49 years,28007
03/21/2021,01/01/2020,12/31/2020,2020,F,50-54 years,42630
03/21/2021,01/01/2020,12/31/2020,2020,F,55-59 years,69016
03/21/2021,01/01/2020,12/31/2020,2020,F,60-64 years,99068
03/21/2021,01/01/2020,12/31/2020,2020,F,65-69 years,122752
03/21/2021,01/01/2020,12/31/2020,2020,F,70-74 years,157628
03/21/2021,01/01/2020,12/31/2020,2020,F,75-79 years,181135
03/21/2021,01/01/2020,12/31/2020,2020,F,80-84 years,209330
03/21/2021,01/01/2020,12/31/2020,2020,F,85 years and over,614345
03/21/2021,01/01/2020,12/31/2020,2020,F,Unknown,27
03/21/2021,01/01/2020,12/31/2020,2020,M,All Ages,1756579
03/21/2021,01/01/2020,12/31/2020,2020,M,0 years,10625
03/21/2021,01/01/2020,12/31/2020,2020,M,1-4 years,1999
03/21/2021,01/01/2020,12/31/2020,2020,M,5-9 years,1229
03/21/2021,01/01/2020,12/31/2020,2020,M,10-14 years,2089
03/21/2021,01/01/2020,12/31/2020,2020,M,15-19 years,8875
03/21/2021,01/01/2020,12/31/2020,2020,M,20-24 years,17351
03/21/2021,01/01/2020,12/31/2020,2020,M,25-29 years,23285
03/21/2021,01/01/2020,12/31/2020,2020,M,30-34 years,27989
03/21/2021,01/01/2020,12/31/2020,2020,M,35-39 years,31736
03/21/2021,01/01/2020,12/31/2020,2020,M,40-44 years,36037
03/21/2021,01/01/2020,12/31/2020,2020,M,45-49 years,47765
03/21/2021,01/01/2020,12/31/2020,2020,M,50-54 years,71016
03/21/2021,01/01/2020,12/31/2020,2020,M,55-59 years,112709
03/21/2021,01/01/2020,12/31/2020,2020,M,60-64 years,156132
03/21/2021,01/01/2020,12/31/2020,2020,M,65-69 years,181303
03/21/2021,01/01/2020,12/31/2020,2020,M,70-74 years,207675
03/21/2021,01/01/2020,12/31/2020,2020,M,75-79 years,214170
03/21/2021,01/01/2020,12/31/2020,2020,M,80-84 years,211722
03/21/2021,01/01/2020,12/31/2020,2020,M,85 years and over,392813
03/21/2021,01/01/2020,12/31/2020,2020,M,Unknown,59
