Date,Location,Distributed_Bivalent,Dist_Bivalent_MOD,Dist_Bivalent_PFR,Distributed_Novavax
06/14/2023,UT,1132050,241960,890090,10200
06/14/2023,VT,463800,121700,342100,3600
06/14/2023,ME,911120,274780,636340,8000
06/14/2023,GU,28260,8300,19960,900
06/14/2023,DC,488920,154160,334760,3700
06/14/2023,ND,273980,61440,212540,2800
06/14/2023,SD,425870,117360,308510,6000
06/14/2023,VI,10000,3700,6300,300
06/14/2023,MD,3647070,1076700,2570370,42700
06/14/2023,IA,1529870,458300,1071570,23300
06/14/2023,AR,1036060,370740,665320,31000
06/14/2023,AK,298910,95860,203050,6700
06/14/2023,TN,2296360,711280,1585080,22200
06/14/2023,VA,4061240,1279140,2782100,36500
06/14/2023,WY,161330,55000,106330,4700
06/14/2023,US,139918910,44577760,95341150,1460300
06/14/2023,IH2,548840,182080,366760,9000
06/14/2023,MT,400830,128860,271970,7700
06/14/2023,FM,35640,700,34940,0
06/14/2023,BP2,33820,12100,21720,0
06/14/2023,DE,551350,174400,376950,5800
06/14/2023,MP,12640,1600,11040,200
06/14/2023,MH,20600,5900,14700,1100
06/14/2023,MN,3327630,888140,2439490,19900
06/14/2023,SC,1792850,655680,1137170,49300
06/14/2023,PW,3490,1400,2090,0
06/14/2023,CT,1809760,690400,1119360,10300
06/14/2023,WI,2799290,897780,1901510,23300
06/14/2023,PR,795900,269400,526500,2100
06/14/2023,WA,4416580,1327580,3089000,42300
06/14/2023,AL,1348920,496220,852700,24900
06/14/2023,AS,2110,500,1610,0
06/14/2023,HI,713920,290720,423200,5300
06/14/2023,OR,2307680,588440,1719240,26300
06/14/2023,DD2,580860,153860,427000,39600
