Data as of,Year,HSA_NCI,Health.Service.Area.Description,Total Number of Deaths,Number of COVID19 Deaths,Footnote
03/08/2021,2020,784,"Latah, ID",250,,Data suppressed (counts from 1-9)
03/08/2021,2020,785,"Clallam, WA - Jefferson, WA",1496,10,
03/08/2021,2020,786,"Chaffee, CO - Lake, CO",246,18,
03/08/2021,2020,787,"Yuma, AZ - La Paz, AZ",2816,603,
03/08/2021,2020,788,"Powell, MT",95,,Data suppressed (counts from 1-9)
03/08/2021,2020,789,"Tulare, CA",3927,531,
03/08/2021,2020,790,"Ventura, CA",6612,436,
03/08/2021,2020,792,"Uinta, WY",180,,Data suppressed (counts from 1-9)
03/08/2021,2020,793,"Grant, NM - Hidalgo, NM",538,34,
03/08/2021,2020,794,"Pierce, WA",7488,338,
03/08/2021,2020,795,"Boulder, CO - Broomfield, CO",2696,228,
03/08/2021,2020,796,"Larimer, CO",2662,138,
03/08/2021,2020,797,"Platte, WY",110,10,
03/08/2021,2020,799,"Daggett, UT",,0,Data suppressed (counts from 1-9)
03/08/2021,2020,800,"Humboldt, CA",1396,25,
03/08/2021,2020,801,"San Miguel, NM - Mora, NM",420,20,
03/08/2021,2020,802,"Santa Cruz, CA",1889,128,
03/08/2021,2020,803,"Mohave, AZ",4036,360,
03/08/2021,2020,804,"Weston, WY",81,,Data suppressed (counts from 1-9)
03/08/2021,2020,805,"White Pine, NV",89,,Data suppressed (counts from 1-9)
03/08/2021,2020,806,"Grant, OR",105,,Data suppressed (counts from 1-9)
03/08/2021,2020,807,"Kern, CA",7633,749,
03/08/2021,2020,808,"Blaine, ID - Camas, ID",151,15,
03/08/2021,2020,809,"Carbon, UT - Emery, UT",367,17,
03/08/2021,2020,810,"Fergus, MT - Petroleum, MT",183,21,
03/08/2021,2020,811,"Mendocino, CA",1040,38,
03/08/2021,2020,812,"Fremont, CO - Custer, CO",679,34,
03/08/2021,2020,813,"Lemhi, ID",132,11,
03/08/2021,2020,814,"Union, NM",59,,Data suppressed (counts from 1-9)
03/08/2021,2020,815,"Whatcom, WA",1902,65,
03/08/2021,2020,816,"Inyo, CA - Mono, CA",295,33,
03/08/2021,2020,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK",226,,Data suppressed (counts from 1-9)
03/08/2021,2020,818,"Juneau City and Borough, AK - Sitka City and Borough, AK",326,,Data suppressed (counts from 1-9)
03/08/2021,2020,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",663,29,
03/08/2021,2020,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",3908,219,
03/08/2021,2020,821,"Honolulu (Honolulu), HI - Maui, HI",9570,320,
03/08/2021,2020,822,"Kauai, HI",588,,Data suppressed (counts from 1-9)
03/08/2021,2020,823,"Hawaii, HI",1861,54,
03/08/2021,2020,825,"Henry, GA - Forsyth, GA",6430,481,
03/08/2021,2020,826,"Cherokee, GA - Douglas, GA",4752,376,
03/08/2021,2020,827,"Newton (Covington), GA",1158,116,
03/08/2021,2020,828,"Baldwin, GA",563,50,
03/08/2021,2020,829,"Clarke (Athens), GA - Barrow, GA",3221,269,
03/08/2021,2020,830,"Richmond (South Augusta), GA - Columbia, GA",4535,457,
03/08/2021,2020,831,"Washtenaw, MI - Livingston, MI",4478,297,
03/08/2021,2020,832,"Lewis, WA - Pacific, WA",1347,38,
03/08/2021,2020,833,"Orange, CA",23607,2621,
03/08/2021,2020,834,"Sonoma (Santa Rosa), CA",4436,220,
03/08/2021,2020,851,"Mineral, WV - Hardy, WV",779,103,
03/08/2021,2020,852,"Wicomico, MD - Worcester, MD",2292,167,
03/08/2021,2020,853,"Virginia Beach City, VA - Norfolk City, VA",11085,737,
03/08/2021,2020,854,"Bennington, VT",482,,Data suppressed (counts from 1-9)
03/08/2021,2020,855,"McCracken, KY - Graves, KY",2666,261,
03/08/2021,2020,856,"Logan, WV - Mingo, WV",991,90,
03/08/2021,2020,857,"Washington, VT - Windsor, VT",1602,20,
03/08/2021,2020,858,"Bradford, PA - Susquehanna, PA",1380,107,
03/08/2021,2020,859,"Providence (Providence), RI - Kent, RI",10973,1822,
03/08/2021,2020,860,"Ohio (Wheeling), WV - Marshall, WV",1464,126,
03/08/2021,2020,861,"Berkeley, WV - Jefferson, WV",2519,136,
03/08/2021,2020,862,"Greenbrier, WV - Monroe, WV",764,65,
03/08/2021,2020,863,"Wood (Parkersburg), WV - Jackson, WV",2175,130,
03/08/2021,2020,864,"Mc Kean, PA - Potter, PA",816,53,
03/08/2021,2020,865,"Rockland, NY",3220,870,
03/08/2021,2020,866,"Mercer, WV - McDowell, WV",1376,63,
03/08/2021,2020,867,"Cabell (Huntington), WV - Wayne, WV",2303,147,
03/08/2021,2020,868,"York (York), PA - Adams, PA",6167,596,
03/08/2021,2020,869,"Montgomery, MD - Prince Georges, MD",18517,2825,
03/08/2021,2020,870,"Pendleton, WV",121,,Data suppressed (counts from 1-9)
03/08/2021,2020,871,"Newport, RI",836,41,
03/08/2021,2020,872,"Franklin, PA - Fulton, PA",2150,273,
03/08/2021,2020,873,"Carroll, VA - Grayson, VA",852,104,
03/08/2021,2020,874,"Rockingham, NH",2921,196,
03/08/2021,2020,875,"Harford, MD - Cecil, MD",3798,278,
03/08/2021,2020,876,"Pike, PA",627,51,
03/08/2021,2020,877,"Windham, VT",463,11,
03/08/2021,2020,878,"Claiborne, TN",491,25,
03/08/2021,2020,879,"Strafford (Rochester), NH",1220,30,
03/08/2021,2020,880,"Erie (Erie), PA - Warren, PA",3849,335,
03/08/2021,2020,881,"Columbia, NY - Greene, NY",1240,80,
03/08/2021,2020,882,"Henry, TN - Carroll, TN",1410,145,
03/08/2021,2020,883,"Pittsylvania (Danville), VA - Danville City, VA",1598,133,
03/08/2021,2020,884,"Essex, VT",80,,Data suppressed (counts from 1-9)
03/08/2021,2020,885,"Hamilton (Chattanooga), TN - Marion, TN",4844,332,
03/08/2021,2020,886,"Beaufort, SC - Jasper, SC",2204,135,
03/08/2021,2020,887,"Shelby (Memphis), TN - Tipton, TN",11858,1125,
03/08/2021,2020,888,"Washington, VA - Smyth, VA",2434,206,
03/08/2021,2020,889,"Aiken, SC - Edgefield, SC",2866,236,
03/08/2021,2020,890,"Glynn, GA - Camden, GA",2121,205,
03/08/2021,2020,891,"Quitman, GA",41,,Data suppressed (counts from 1-9)
03/08/2021,2020,892,"Escambia (Pensacola), FL - Okaloosa, FL",9121,746,
03/08/2021,2020,893,"Muscogee (Columbus), GA - Harris, GA",3073,285,
03/08/2021,2020,894,"Coweta, GA - Troup (La Grange), GA",2706,248,
03/08/2021,2020,895,"Bradley, TN - Polk, TN",1671,91,
03/08/2021,2020,896,"Carroll, GA - Haralson, GA",1788,176,
03/08/2021,2020,897,"Weakley, TN - Obion, TN",974,117,
03/08/2021,2020,898,"Spartanburg (Spartanburg), SC - Cherokee, SC",5064,522,
03/08/2021,2020,899,"Johnson, TN",287,33,
03/08/2021,2020,900,"Lincoln, TN",531,45,
03/08/2021,2020,901,"Hamilton (Cincinnati), OH - Butler, OH",19053,1714,
03/08/2021,2020,902,"Vanderburgh (Evansville), IN - Warrick, IN",4113,431,
03/08/2021,2020,903,"Lucas (Toledo), OH - Wood, OH",8164,912,
03/08/2021,2020,904,"Mason, WV",388,21,
03/08/2021,2020,905,"Oneida, WI - Vilas, WI",1141,132,
03/08/2021,2020,906,"Polk, WI",496,33,
03/08/2021,2020,907,"Douglas, WI",548,67,
03/08/2021,2020,908,"La Crosse (La Crosse), WI - Monroe, WI",2371,171,
03/08/2021,2020,909,"Dubuque (Dubuque), IA - Jackson, IA",1295,195,
03/08/2021,2020,910,"Knox, IN - Daviess, IN",1255,190,
03/08/2021,2020,911,"Vigo (Terre Haute), IN - Clay, IN",2394,260,
03/08/2021,2020,912,"Marinette, WI - Florence, WI",719,84,
03/08/2021,2020,913,"Daviess (Owensboro), KY - Ohio, KY",1786,156,
03/08/2021,2020,914,"Carroll, KY - Trimble, KY",261,26,
03/08/2021,2020,915,"Fountain, IN - Warren, IN",374,36,
03/08/2021,2020,916,"Scioto, OH - Ross, OH",2816,209,
03/08/2021,2020,917,"Des Moines, IA - Henry, IA",799,81,
03/08/2021,2020,918,"Mercer, PA",1706,190,
03/08/2021,2020,919,"Crawford, WI",209,13,
03/08/2021,2020,920,"Marion, MO - Pike, MO",874,94,
03/08/2021,2020,921,"Clinton, IA",617,78,
03/08/2021,2020,922,"Clark, MO",99,20,
03/08/2021,2020,923,"St. Croix, WI - Pierce, WI",1097,74,
03/08/2021,2020,924,"Hancock (Weirton), WV - Brooke, WV",928,107,
03/08/2021,2020,925,"Bowie (Texarkana), TX",1238,136,
03/08/2021,2020,926,"Lauderdale, MS - Neshoba, MS",2445,408,
03/08/2021,2020,927,"Le Flore, OK - Sequoyah, OK",1580,142,
03/08/2021,2020,928,"Warren, MS - Claiborne, MS",792,106,
03/08/2021,2020,929,"Adams, MS - Jefferson, MS",722,100,
03/08/2021,2020,930,"Grayson (Sherman), TX - Fannin, TX",2283,276,
03/08/2021,2020,931,"Lamar, TX - Red River, TX",1132,135,
03/08/2021,2020,932,"Delaware, OK",701,101,
03/08/2021,2020,933,"Washington, OK - Nowata, OK",852,96,
03/08/2021,2020,934,"Lowndes, MS - Clay, MS",1219,161,
03/08/2021,2020,935,"Lipscomb, TX",36,10,
03/08/2021,2020,936,"Pearl River, MS",847,88,
03/08/2021,2020,937,"Gaines, TX - Andrews, TX",322,66,
03/08/2021,2020,938,"Jasper (Joplin), MO - Newton, MO",2709,321,
03/08/2021,2020,939,"Minnehaha (Sioux Falls), SD - Lincoln, SD",2882,497,
03/08/2021,2020,940,"Cass (Fargo), ND - Richland, ND",2080,264,
03/08/2021,2020,941,"Olmsted (Rochester), MN - Winona, MN",3160,188,
03/08/2021,2020,942,"Dakota, NE - Thurston, NE",419,98,
03/08/2021,2020,943,"Grant, KS - Stanton, KS",92,21,
03/08/2021,2020,944,"Cape Girardeau, MO - Butler, MO",4307,436,
03/08/2021,2020,945,"Dunklin, MO",555,59,
03/08/2021,2020,946,"Howell, MO - Oregon, MO",944,114,
03/08/2021,2020,947,"Yankton, SD - Clay, SD",615,83,
03/08/2021,2020,948,"Goshen, WY - Niobrara, WY",233,22,
03/08/2021,2020,949,"Grand Forks (Grand Forks), ND - Walsh, ND",932,122,
03/08/2021,2020,950,"Campbell, WY - Crook, WY",436,53,
03/08/2021,2020,951,"Texas, OK - Cimarron, OK",218,40,
03/08/2021,2020,952,"Roberts, SD",134,29,
03/08/2021,2020,953,"Buchanan (St. Joseph), MO - Nodaway, MO",1963,219,
03/08/2021,2020,954,"Todd, SD - Tripp, SD",342,68,
03/08/2021,2020,955,"Red Willow, NE - Hitchcock, NE",203,17,
03/08/2021,2020,956,"Pemiscot, MO",302,31,
03/08/2021,2020,957,"Shannon, SD - Bennett, SD",248,46,
03/08/2021,2020,958,"Martin, MN",254,26,
03/08/2021,2020,959,"Perkins, SD - Harding, SD",65,14,
03/08/2021,2020,960,"Clark, WA - Cowlitz, WA",5563,168,
03/08/2021,2020,961,"Asotin, WA - Garfield, WA",335,26,
03/08/2021,2020,962,"Washoe (Reno), NV - Carson City, NV",7786,727,
03/08/2021,2020,963,"Colfax, NM",175,31,
03/08/2021,2020,964,"Washington, UT - Kane, UT",1885,134,
03/08/2021,2020,965,"Grand, UT",80,,Data suppressed (counts from 1-9)
03/08/2021,2020,966,"Cache, UT",657,31,
03/08/2021,2020,967,"Walla Walla, WA - Columbia, WA",704,46,
03/08/2021,2020,968,"Malheur, OR",385,52,
03/08/2021,2020,969,"Coos, OR - Curry, OR",1409,17,
03/08/2021,2020,970,"San Juan, UT",169,47,
03/08/2021,2020,971,"Laramie (Cheyenne), WY",983,71,
03/08/2021,2020,972,"Klickitat, WA - Skamania, WA",314,,Data suppressed (counts from 1-9)
03/08/2021,2020,973,"Jackson (Medford), OR - Josephine, OR",3968,101,
03/08/2021,2020,974,"McKinley, NM",1113,365,
03/08/2021,2020,975,"Albany, WY - Carbon, WY",422,28,
03/08/2021,2020,976,"Whitman, WA",320,26,
03/08/2021,2020,977,"Sweetwater, WY",413,26,
03/08/2021,2020,980,"Lawrence, OH",953,79,
03/08/2021,2020,981,"Houston, MN",223,13,
03/08/2021,2020,982,"Lee, IA",506,39,
03/08/2021,2020,983,"McCurtain, OK",527,92,
03/08/2021,2020,984,"Pipestone, MN - Rock, MN",272,32,
03/08/2021,2020,985,"La Plata, CO - Montezuma, CO",871,47,
03/08/2021,2020,986,"San Juan, NM",1519,339,
